feature,Linear*,KNN*,G-Boost*,MLP*,avg_importance
C1 School closing O,1.0,0.688327244599108,1.0,0.5874953986069038,0.818955660801503
C1 School closing D,0.9373902430865032,0.5973236578453684,0.3586154901602261,0.8460900306903038,0.6848548554456004
C3 Cancel public events D,0.19122562983401625,0.644980191554051,0.765515768620758,0.6760317926279388,0.569438345659191
C3 Cancel public events O,0.10042476019102119,1.0,0.3319269864799961,0.6525623258775378,0.5212285181371388
C7 Restr. Internal movement O,0.0,0.929688780706244,0.15500265896515122,0.9999999999999999,0.5211728599178488
H2 Testing policy O,0.14097050231542826,0.06714317536788539,0.8721847086779322,0.9245442344380829,0.5012106551998322
C4 Restrictions gatherings O,0.5008516340364325,0.5106991276487087,0.3991403518192195,0.5388233383464782,0.4873786129627098
C6 Stay home requirements D,0.16943670517167006,0.15013740096384992,0.961792713330123,0.5374285326367414,0.4546988380255961
C6 Stay home requirements O,0.9173499064020346,0.15606924421423668,0.12063551178257101,0.5944791188662044,0.4471334453162617
C4 Restrictions gatherings D,0.06023521758010866,0.47968457227857636,0.7036577965330033,0.2529359883781461,0.3741283936924586
C7 Restr. Internal movement D,0.12956337368626705,0.6603398645671597,0.12283875643358658,0.578581646644773,0.3728309103329466
H3 Contact tracing O,0.054296923307285076,0.11955974951972542,0.2678731192957554,0.4398147470158208,0.2203861347846467
C8 Inter. travel controls O,0.01218991938334465,0.014330516924664527,0.45093051232075776,0.39522986125424553,0.2181702024707531
New Covid deaths O,0.0035140848254126772,0.06956626296249147,0.7343566426459559,0.04948947894582209,0.21423161734492055
New Covid cases O,0.10883852076646737,0.0,0.21022333787419425,0.5245021628630584,0.21089100537593
New Covid deaths D,0.061116233507567515,0.10303843616099378,0.6449223282942723,0.0,0.2022692494907084
C5 Close public transport D,0.33889188875744053,0.055452867976764464,0.00941119970678403,0.3947075652186596,0.19961588041491216
H3 Contact tracing D,0.3060424852417152,0.2103770005899967,0.01802519820132767,0.14038213311465694,0.16870670428692414
C2 Workplace closing D,0.04544680309662408,0.3309676046695937,0.06901548859661474,0.22589453725906802,0.16783110840547513
C8 Inter. travel controls D,0.000996026431942936,0.11754891359085623,0.20461018514984838,0.31983184989605884,0.1607467437671766
New Covid cases D,0.1153015851920928,0.003357525649886617,0.4312753826764233,0.05931928725142854,0.15231344519245782
C5 Close public transport O,0.18188643233883983,0.07005604786171055,0.0,0.31237320428884163,0.141078921122348
C2 Workplace closing O,0.008281755661441433,0.2313991464552319,0.1035909960237131,0.1371312968587369,0.12010079874978083
H2 Testing policy D,0.08506965293746506,0.00495492515792384,0.018766808356928427,0.09649020170883268,0.0513203970402875
