,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.16645867876569953,0.0007209182362841885,0.0
1,date,0.08874369728934273,0.0005555036983647126,0.0
2,new_cases_per_million_i,0.0024424743959650993,4.0531286056896055e-05,0.0
3,new_deaths_per_million_i,0.0031020844486107655,3.487740221122526e-05,0.0
4,new_cases_per_million_j,0.0024309223777933915,3.478791888363788e-05,0.0
5,new_deaths_per_million_j,0.003102648224819278,3.6456204727652194e-05,0.0
6,c1_schoolclosing_i,0.007260866469054407,0.00010895785286854504,0.0
7,c1_schoolclosing_j,0.007248089214757015,0.00012284171523452956,0.0
8,c2_workplaceclosing_i,0.004990526736216569,7.102514833922992e-05,0.0
9,c2_workplaceclosing_j,0.0050020148854198155,5.921986443683685e-05,0.0
10,c3_cancel_events_i,0.009092444517171325,9.531769416331084e-05,0.0
11,c3_cancel_events_j,0.009026532801593141,0.00013658260225630584,0.0
12,c4_restr_gather_i,0.0062625756363517,6.317947076181675e-05,0.0
13,c4_restr_gather_j,0.006277175504925478,7.438297560725052e-05,0.0
14,c5_closepublictransport_i,0.0035145701857276514,3.116080089198038e-05,0.0
15,c5_closepublictransport_j,0.0035233679038722877,2.952428463586255e-05,0.0
16,c6_stay_home_i,0.003933836013330922,4.906983267729952e-05,0.0
17,c6_stay_home_j,0.003919840521560197,4.258986127152408e-05,0.0
18,c7_restr_internal_move_i,0.008294370715676297,9.19430074943523e-05,0.0
19,c7_restr_internal_move_j,0.008362953105347333,6.68162032572366e-05,0.0
20,c8_int_trvl_controls_i,0.0038033147767409037,2.6574274626055437e-05,0.0
21,c8_int_trvl_controls_j,0.0037967913644063713,7.686992959161371e-05,0.0
22,h2_testingpolicy_i,0.003436377917411424,5.188951692394355e-05,0.0
23,h2_testingpolicy_j,0.0034313328294869336,3.4299551895949193e-05,0.0
24,h3_contacttracing_i,0.004299834199537946,6.530052682571953e-05,0.0
25,h3_contacttracing_j,0.004320320876657081,6.27881650582861e-05,0.0
