ds,polygon1_id,polygon1_name,latitude1,longitude1,polygon2_id,polygon2_name,latitude2,longitude2,metric_value,metric_name
2020-09-22,2282619438622633,austria,48.0,14.0,417045315510881,czech republic,50.0,16.0,3494,travel counts
2020-09-22,616857608787515,hungary,47.0,19.0,417045315510881,czech republic,50.0,16.0,2008,travel counts
2020-09-22,346733206197678,indonesia,-0.8349,113.4668,853970694951300,south korea,36.0,128.0,1073,travel counts
2020-09-22,401821703703677,serbia,43.95,20.933333333333,321538001884900,bosnia and herzegovina,44.0,18.0,2577,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,1080265735511471,spain,40.0,-3.0,3194,travel counts
2020-09-22,680120905754069,france,47.0,2.0,1080265735511471,spain,40.0,-3.0,16332,travel counts
2020-09-22,346733206197678,indonesia,-0.8349,113.4668,419634095534324,malaysia,2.316667,111.55,8236,travel counts
2020-09-22,433497307408292,thailand,15.0,101.0,419634095534324,malaysia,2.316667,111.55,4339,travel counts
2020-09-22,833225000389252,slovakia,49.0,20.0,417045315510881,czech republic,50.0,16.0,5353,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,417045315510881,czech republic,50.0,16.0,9755,travel counts
2020-09-22,1231810770328071,poland,52.0,19.0,417045315510881,czech republic,50.0,16.0,6777,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,1080265735511471,spain,40.0,-3.0,1760,travel counts
2020-09-22,852597565113521,united kingdom,54.0,-2.0,1080265735511471,spain,40.0,-3.0,4047,travel counts
2020-09-22,312478709447704,portugal,38.7,-9.1833333333333,1080265735511471,spain,40.0,-3.0,10830,travel counts
2020-09-22,475814519825093,belgium,51.0,5.0,1080265735511471,spain,40.0,-3.0,1050,travel counts
2020-09-22,1231810770328071,poland,52.0,19.0,571822773304405,lithuania,55.5,24.0,1789,travel counts
2020-09-22,827650550921642,latvia,57.0,25.0,571822773304405,lithuania,55.5,24.0,1010,travel counts
2020-09-22,535485520310127,cyprus,35.0,33.0,852597565113521,united kingdom,54.0,-2.0,1426,travel counts
2020-09-22,417158592211893,india,21.0,77.0,852597565113521,united kingdom,54.0,-2.0,1006,travel counts
2020-09-22,937148070010051,united states,40.0,-100.0,852597565113521,united kingdom,54.0,-2.0,1012,travel counts
2020-09-22,680120905754069,france,47.0,2.0,852597565113521,united kingdom,54.0,-2.0,6697,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,852597565113521,united kingdom,54.0,-2.0,4341,travel counts
2020-09-22,1231810770328071,poland,52.0,19.0,852597565113521,united kingdom,54.0,-2.0,6424,travel counts
2020-09-22,407219260067826,bulgaria,42.75,25.5,852597565113521,united kingdom,54.0,-2.0,1363,travel counts
2020-09-22,2247289335332676,turkey,39.0,36.0,852597565113521,united kingdom,54.0,-2.0,8484,travel counts
2020-09-22,1080265735511471,spain,40.0,-3.0,852597565113521,united kingdom,54.0,-2.0,4876,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,852597565113521,united kingdom,54.0,-2.0,7659,travel counts
2020-09-22,312478709447704,portugal,38.7,-9.1833333333333,852597565113521,united kingdom,54.0,-2.0,2801,travel counts
2020-09-22,351785358793117,greece,39.0,22.0,852597565113521,united kingdom,54.0,-2.0,6514,travel counts
2020-09-22,475814519825093,belgium,51.0,5.0,852597565113521,united kingdom,54.0,-2.0,1968,travel counts
2020-09-22,1693686944068084,ireland,53.4469834801,-7.08056729059,852597565113521,united kingdom,54.0,-2.0,13866,travel counts
2020-09-22,362070071076950,netherlands,52.316666666667,5.55,852597565113521,united kingdom,54.0,-2.0,3133,travel counts
2020-09-22,2414720828591431,romania,46.0,25.0,852597565113521,united kingdom,54.0,-2.0,3948,travel counts
2020-09-22,921744301497079,argentina,-34.0,-64.0,2103842606572854,chile,-31.0,-71.0,7142,travel counts
2020-09-22,937148070010051,united states,40.0,-100.0,343315869635106,philippines,11.333330555556,123.01666944444,1924,travel counts
2020-09-22,851705715169048,saudi arabia,23.716667,44.116667,343315869635106,philippines,11.333330555556,123.01666944444,4502,travel counts
2020-09-22,852597565113521,united kingdom,54.0,-2.0,351785358793117,greece,39.0,22.0,4309,travel counts
2020-09-22,417158592211893,india,21.0,77.0,343315869635106,philippines,11.333330555556,123.01666944444,1365,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,351785358793117,greece,39.0,22.0,3417,travel counts
2020-09-22,1231810770328071,poland,52.0,19.0,351785358793117,greece,39.0,22.0,1451,travel counts
2020-09-22,1237068956456866,kuwait,29.166667,47.6,343315869635106,philippines,11.333330555556,123.01666944444,1176,travel counts
2020-09-22,597585864063467,united arab emirates,23.783333,54.0,343315869635106,philippines,11.333330555556,123.01666944444,1724,travel counts
2020-09-22,343315869635106,philippines,11.333330555556,123.01666944444,793335024385721,japan,35.0,136.0,1313,travel counts
2020-09-22,680120905754069,france,47.0,2.0,351785358793117,greece,39.0,22.0,1525,travel counts
2020-09-22,346733206197678,indonesia,-0.8349,113.4668,343315869635106,philippines,11.333330555556,123.01666944444,1172,travel counts
2020-09-22,407219260067826,bulgaria,42.75,25.5,351785358793117,greece,39.0,22.0,2241,travel counts
2020-09-22,793335024385721,japan,35.0,136.0,343315869635106,philippines,11.333330555556,123.01666944444,1296,travel counts
2020-09-22,810648062654687,canada,56.0,-109.0,343315869635106,philippines,11.333330555556,123.01666944444,1019,travel counts
2020-09-22,463167797558589,taiwan,24.0,121.0,343315869635106,philippines,11.333330555556,123.01666944444,1067,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,351785358793117,greece,39.0,22.0,1094,travel counts
2020-09-22,817571401952819,qatar,25.269535,51.212767,343315869635106,philippines,11.333330555556,123.01666944444,1210,travel counts
2020-09-22,661116984348270,el salvador,13.668889,-88.866111,414218989431133,honduras,14.633333,-86.816667,1023,travel counts
2020-09-22,601856040330843,jamaica,18.1823878,-77.3217773,290913558509638,haiti,19.1,-72.33,2119,travel counts
2020-09-22,433497307408292,thailand,15.0,101.0,365511357395737,laos,19.366667,102.566667,9181,travel counts
2020-09-22,711084376012350,vietnam,14.016666666667,107.9,365511357395737,laos,19.366667,102.566667,10725,travel counts
2020-09-22,2367165386637842,brazil,-11.0,-53.0,606189189846925,uruguay,-32.733333,-56.65,4074,travel counts
2020-09-22,833225000389252,slovakia,49.0,20.0,1231810770328071,poland,52.0,19.0,2818,travel counts
2020-09-22,627913770953274,sweden,61.0,15.0,1231810770328071,poland,52.0,19.0,1313,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,1231810770328071,poland,52.0,19.0,1691,travel counts
2020-09-22,417045315510881,czech republic,50.0,16.0,1231810770328071,poland,52.0,19.0,5914,travel counts
2020-09-22,362070071076950,netherlands,52.316666666667,5.55,1231810770328071,poland,52.0,19.0,2354,travel counts
2020-09-22,571822773304405,lithuania,55.5,24.0,1231810770328071,poland,52.0,19.0,2165,travel counts
2020-09-22,2367165386637842,brazil,-11.0,-53.0,345922999375723,bolivia,-17.056869611111,-64.991228611111,1625,travel counts
2020-09-22,2282619438622633,austria,48.0,14.0,1231810770328071,poland,52.0,19.0,1510,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,1231810770328071,poland,52.0,19.0,19914,travel counts
2020-09-22,351785358793117,greece,39.0,22.0,1231810770328071,poland,52.0,19.0,1493,travel counts
2020-09-22,852597565113521,united kingdom,54.0,-2.0,1231810770328071,poland,52.0,19.0,4190,travel counts
2020-09-22,346733206197678,indonesia,-0.8349,113.4668,433497307408292,thailand,15.0,101.0,2381,travel counts
2020-09-22,937148070010051,united states,40.0,-100.0,2272822426127539,puerto rico,18.25,-66.5,4158,travel counts
2020-09-22,400835317162981,croatia,45.25,15.466667,401821703703677,serbia,43.95,20.933333333333,1088,travel counts
2020-09-22,731553183908171,kosovo,42.6,20.85,401821703703677,serbia,43.95,20.933333333333,1890,travel counts
2020-09-22,2230412020541290,montenegro,42.766667,19.216667,401821703703677,serbia,43.95,20.933333333333,1556,travel counts
2020-09-22,321538001884900,bosnia and herzegovina,44.0,18.0,401821703703677,serbia,43.95,20.933333333333,2636,travel counts
2020-09-22,475814519825093,belgium,51.0,5.0,401821703703677,serbia,43.95,20.933333333333,1361,travel counts
2020-09-22,642311629554632,cambodia,12.733333,105.666667,433497307408292,thailand,15.0,101.0,8406,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,2666999523371674,san marino,43.933333333333,12.466666666667,3194,travel counts
2020-09-22,680120905754069,france,47.0,2.0,2414720828591431,romania,46.0,25.0,1172,travel counts
2020-09-22,388350675343876,moldova,47.0,29.0,2414720828591431,romania,46.0,25.0,1854,travel counts
2020-09-22,852597565113521,united kingdom,54.0,-2.0,475814519825093,belgium,51.0,5.0,2453,travel counts
2020-09-22,680120905754069,france,47.0,2.0,475814519825093,belgium,51.0,5.0,25893,travel counts
2020-09-22,401821703703677,serbia,43.95,20.933333333333,475814519825093,belgium,51.0,5.0,1292,travel counts
2020-09-22,404888597011746,luxembourg,49.77,6.13,475814519825093,belgium,51.0,5.0,6638,travel counts
2020-09-22,2282619438622633,austria,48.0,14.0,2414720828591431,romania,46.0,25.0,2121,travel counts
2020-09-22,616857608787515,hungary,47.0,19.0,2414720828591431,romania,46.0,25.0,4631,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,2414720828591431,romania,46.0,25.0,1701,travel counts
2020-09-22,2367165386637842,brazil,-11.0,-53.0,657349034710714,colombia,3.816667,-73.916667,1260,travel counts
2020-09-22,314322742593141,denmark,56.0,10.0,623759951440132,norway,61.0,8.0,1040,travel counts
2020-09-22,627913770953274,sweden,61.0,15.0,623759951440132,norway,61.0,8.0,4179,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,475814519825093,belgium,51.0,5.0,11420,travel counts
2020-09-22,417158592211893,india,21.0,77.0,711084376012350,vietnam,14.016666666667,107.9,1388,travel counts
2020-09-22,642311629554632,cambodia,12.733333,105.666667,711084376012350,vietnam,14.016666666667,107.9,3129,travel counts
2020-09-22,376031519676735,bangladesh,24.016667,89.866667,711084376012350,vietnam,14.016666666667,107.9,1130,travel counts
2020-09-22,365511357395737,laos,19.366667,102.566667,711084376012350,vietnam,14.016666666667,107.9,11237,travel counts
2020-09-22,852597565113521,united kingdom,54.0,-2.0,2414720828591431,romania,46.0,25.0,2927,travel counts
2020-09-22,2247289335332676,turkey,39.0,36.0,2414720828591431,romania,46.0,25.0,1472,travel counts
2020-09-22,833225000389252,slovakia,49.0,20.0,616857608787515,hungary,47.0,19.0,3234,travel counts
2020-09-22,417158592211893,india,21.0,77.0,376031519676735,bangladesh,24.016667,89.866667,18289,travel counts
2020-09-22,711084376012350,vietnam,14.016666666667,107.9,376031519676735,bangladesh,24.016667,89.866667,1191,travel counts
2020-09-22,1231810770328071,poland,52.0,19.0,616857608787515,hungary,47.0,19.0,1245,travel counts
2020-09-22,417045315510881,czech republic,50.0,16.0,616857608787515,hungary,47.0,19.0,1004,travel counts
2020-09-22,381900512398634,ecuador,-1.4666666666667,-78.816666666667,657349034710714,colombia,3.816667,-73.916667,3436,travel counts
2020-09-22,1231810770328071,poland,52.0,19.0,475814519825093,belgium,51.0,5.0,1193,travel counts
2020-09-22,351886962112263,italy,43.0,12.0,475814519825093,belgium,51.0,5.0,2239,travel counts
2020-09-22,362070071076950,netherlands,52.316666666667,5.55,475814519825093,belgium,51.0,5.0,28986,travel counts
2020-09-22,427725857796526,paraguay,-23.266667,-58.083333,921744301497079,argentina,-34.0,-64.0,2062,travel counts
2020-09-22,2282619438622633,austria,48.0,14.0,616857608787515,hungary,47.0,19.0,7350,travel counts
2020-09-22,851705715169048,saudi arabia,23.716667,44.116667,376031519676735,bangladesh,24.016667,89.866667,1075,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,616857608787515,hungary,47.0,19.0,3051,travel counts
2020-09-22,401821703703677,serbia,43.95,20.933333333333,616857608787515,hungary,47.0,19.0,1136,travel counts
2020-09-22,2414720828591431,romania,46.0,25.0,616857608787515,hungary,47.0,19.0,5565,travel counts
2020-09-22,407219260067826,bulgaria,42.75,25.5,2414720828591431,romania,46.0,25.0,4950,travel counts
2020-09-22,365511357395737,laos,19.366667,102.566667,433497307408292,thailand,15.0,101.0,8635,travel counts
2020-09-22,937148070010051,united states,40.0,-100.0,657349034710714,colombia,3.816667,-73.916667,1951,travel counts
2020-09-22,833225000389252,slovakia,49.0,20.0,2282619438622633,austria,48.0,14.0,4131,travel counts
2020-09-22,2414720828591431,romania,46.0,25.0,2282619438622633,austria,48.0,14.0,2814,travel counts
2020-09-22,419634095534324,malaysia,2.316667,111.55,433497307408292,thailand,15.0,101.0,4061,travel counts
2020-09-22,2367165386637842,brazil,-11.0,-53.0,921744301497079,argentina,-34.0,-64.0,2167,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,2414720828591431,romania,46.0,25.0,4580,travel counts
2020-09-22,1317763431707213,germany,51.0,10.0,407219260067826,bulgaria,42.75,25.5,1275,travel counts
2020-09-22,2247289335332676,turkey,39.0,36.0,407219260067826,bulgaria,42.75,25.5,4853,travel counts
2020-09-22,852597565113521,united kingdom,54.0,-2.0,680120905754069,france,47.0,2.0,5515,travel counts
2020-09-22,806572816378642,tunisia,34.0,9.0,680120905754069,france,47.0,2.0,1006,travel counts
2020-09-22,404888597011746,luxembourg,49.77,6.13,680120905754069,france,47.0,2.0,10695,travel counts
