"ds","polygon1_id","polygon1_name","latitude1","longitude1","polygon2_id","polygon2_name","latitude2","longitude2","metric_value","metric_name"
"2021-08-25","2367165386637842","brazil","-11.0","-53.0","427725857796526","paraguay","-23.266667","-58.083333","7976","travel counts"
"2021-08-25","937148070010051","united states","40.0","-100.0","810648062654687","canada","56.0","-109.0","19803","travel counts"
"2021-08-25","661116984348270","el salvador","13.668889","-88.866111","414218989431133","honduras","14.633333","-86.816667","1189","travel counts"
"2021-08-25","731553183908171","kosovo","42.6","20.85","2272551262804931","albania","41.0","20.0","6716","travel counts"
"2021-08-25","1231810770328071","poland","52.0","19.0","833225000389252","slovakia","49.0","20.0","3234","travel counts"
"2021-08-25","1231810770328071","poland","52.0","19.0","362070071076950","netherlands","52.316666666667","5.55","3858","travel counts"
"2021-08-25","475814519825093","belgium","51.0","5.0","362070071076950","netherlands","52.316666666667","5.55","32246","travel counts"
"2021-08-25","1317763431707213","germany","51.0","10.0","312478709447704","portugal","38.7","-9.1833333333333","1004","travel counts"
"2021-08-25","351785358793117","greece","39.0","22.0","2272551262804931","albania","41.0","20.0","2497","travel counts"
"2021-08-25","351785358793117","greece","39.0","22.0","362070071076950","netherlands","52.316666666667","5.55","3669","travel counts"
"2021-08-25","1317763431707213","germany","51.0","10.0","833225000389252","slovakia","49.0","20.0","1604","travel counts"
"2021-08-25","1317763431707213","germany","51.0","10.0","362070071076950","netherlands","52.316666666667","5.55","35711","travel counts"
"2021-08-25","937148070010051","united states","40.0","-100.0","362070071076950","netherlands","52.316666666667","5.55","1208","travel counts"
"2021-08-25","597585864063467","united arab emirates","23.783333","54.0","817571401952819","qatar","25.269535","51.212767","1323","travel counts"
"2021-08-25","362070071076950","netherlands","52.316666666667","5.55","351886962112263","italy","43.0","12.0","2516","travel counts"
"2021-08-25","312478709447704","portugal","38.7","-9.1833333333333","351886962112263","italy","43.0","12.0","1264","travel counts"
"2021-08-25","407219260067826","bulgaria","42.75","25.5","351886962112263","italy","43.0","12.0","1151","travel counts"
"2021-08-25","2414720828591431","romania","46.0","25.0","384833669025234","slovenia","46.0","15.0","1031","travel counts"
"2021-08-25","2414720828591431","romania","46.0","25.0","351886962112263","italy","43.0","12.0","8030","travel counts"
"2021-08-25","384833669025234","slovenia","46.0","15.0","351886962112263","italy","43.0","12.0","5681","travel counts"
"2021-08-25","425473528186094","switzerland","46.798562","8.231973","351886962112263","italy","43.0","12.0","13860","travel counts"
"2021-08-25","429706144459641","malta","35.8854","14.4302","351886962112263","italy","43.0","12.0","1636","travel counts"
"2021-08-25","616857608787515","hungary","47.0","19.0","384833669025234","slovenia","46.0","15.0","1271","travel counts"
"2021-08-25","616857608787515","hungary","47.0","19.0","351886962112263","italy","43.0","12.0","3648","travel counts"
"2021-08-25","351886962112263","italy","43.0","12.0","384833669025234","slovenia","46.0","15.0","4068","travel counts"
"2021-08-25","2282619438622633","austria","48.0","14.0","384833669025234","slovenia","46.0","15.0","4351","travel counts"
"2021-08-25","2282619438622633","austria","48.0","14.0","351886962112263","italy","43.0","12.0","11260","travel counts"
"2021-08-25","852597565113521","united kingdom","54.0","-2.0","351886962112263","italy","43.0","12.0","2117","travel counts"
"2021-08-25","351785358793117","greece","39.0","22.0","351886962112263","italy","43.0","12.0","9219","travel counts"
"2021-08-25","321538001884900","bosnia and herzegovina","44.0","18.0","384833669025234","slovenia","46.0","15.0","1901","travel counts"
