,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.1857228652795391,0.0013833605120390803,0.0
1,date,0.17627318563437408,0.0005387288845378706,0.0
2,new_cases_per_million_i,0.01216840931190453,0.00027213036996170167,0.0
3,new_deaths_per_million_i,0.01614231312253927,0.0003485338899537606,0.0
4,new_cases_per_million_j,0.01286606275078742,0.0002488573390643093,0.0
5,new_deaths_per_million_j,0.016618222449244702,0.00040328855636959706,0.0
6,Component_0_i,0.03558441843841375,0.0005129865886766211,0.0
7,Component_1_i,0.029275551634964987,0.0003262067923630138,0.0
8,Component_0_j,0.04354035682189364,0.0006797498162634677,0.0
9,Component_1_j,0.02771571727462686,0.00034469184955585557,0.0
