,feature_asym,importance_mean,importance_std,mae_baseline
0,pair_id,0.08764403190255082,0.0004004075159191888,0.13143529310991744
1,date,0.12890182598777547,0.0007630914187171562,0.13143529310991744
2,new_cases_per_million_i,-0.00046710478937299625,4.4125544220088606e-05,0.13143529310991744
3,new_deaths_per_million_i,-0.00018307029259526653,7.828467051270638e-06,0.13143529310991744
4,new_cases_per_million_j,-0.00040975963822142134,3.096647572041988e-05,0.13143529310991744
5,new_deaths_per_million_j,0.0021577589802751597,4.7539499099944174e-05,0.13143529310991744
6,Component_0_i,0.00594666166704326,0.0001375352481062303,0.13143529310991744
7,Component_1_i,8.562129813268483e-05,2.0620336595599252e-05,0.13143529310991744
8,Component_0_j,0.047696502959487616,0.0006025030283288442,0.13143529310991744
9,Component_1_j,0.003636982778683634,0.00014168639696178506,0.13143529310991744
