feature,Linear*,KNN*,G-Boost*,MLP*,avg_importance
C1 School closing,1.0,0.6853465340340752,0.8116987420348899,0.6761772000339198,0.7933056190257212
C3 Cancel public events,0.10135032611999344,0.9999999999999998,0.5606725183077225,0.781370163962527,0.6108482520975607
C7 Restr. Internal movement,0.05063459808075956,0.888348892643541,0.21737448194674666,0.9999999999999999,0.5390894931677618
C6 Stay home requirements,0.6015649068516045,0.20348033404963772,0.7928389975122834,0.5449757757274397,0.5357150035352413
C4 Restrictions gatherings,0.12392289319155518,0.5733278640572586,1.0,0.32596782035094124,0.5058046443999388
H2 Testing policy,0.11718379643293099,0.06118511005922905,0.6863094658879103,0.5374704002469767,0.3505371931567618
H3 Contact tracing,0.22761468622087996,0.15449513201256804,0.3732831413257981,0.29305275270470516,0.2621114280659878
C5 Close public transport,0.2473239887468765,0.1098460587129163,0.0680988464288233,0.3158938000313545,0.18529067347999265
C8 Inter. travel controls,0.004339353994463421,0.07003554932867773,0.29733810663245164,0.2781642342025427,0.16246931103953388
C2 Workplace closing,0.004144492913331758,0.3223421453562789,0.07896288612528665,0.19028327260054584,0.14893319924886078
New Covid cases -7,0.11684597392036003,0.0,0.08036867801639042,0.12397634752304344,0.08029774986494848
New Covid deaths,0.039387622194163835,0.12120986011950607,0.11808111833987386,0.0,0.06966965016338594
New Covid cases,0.007085154106234201,0.014780863746170325,0.0,0.24493311690888614,0.06669978369032267
New Covid deaths -14,0.0,0.12319113128100545,0.05975983757351058,0.05271715630789177,0.058917031290601954
New Covid cases -14,0.04404489171301022,0.01321938031013914,0.09085549655773928,0.07971652117356044,0.05695907243861227
New Covid deaths -7,0.006863126885411376,0.10412163944460678,0.04368727800742184,0.0316914233999923,0.04659086693435807
