feature,Linear*,KNN*,G-Boost*,MLP*,avg_importance
C1 School closing,0.9999999999999999,0.9982621643978392,0.8607370418697597,0.8604505488958574,0.929862438790864
C3 Cancel public events,0.20713820407098193,1.0,0.595439988281377,0.7605248950175143,0.6407757718424683
New Covid cases,0.10986824267475669,0.7584943487580121,0.6338732394384778,0.8674580709364914,0.5924234754519345
C4 Restrictions gatherings,0.09017409372868099,0.7617550329064074,0.6462194790609982,0.6405251380079742,0.5346684359260152
C7 Restr. Internal movement,0.014359731913925786,0.8366786029950558,0.273294264889768,1.0,0.5310831499496874
New Covid deaths,0.0,0.7660548056592581,1.0,0.0,0.4415137014148145
C6 Stay home requirements,0.2534999458122405,0.22898321345632489,0.639247054755172,0.38226537008295575,0.37599889602667325
H2 Testing policy,0.25867886981565075,0.017540629812492048,0.4913224612434902,0.3018315132803259,0.26734336853798973
C2 Workplace closing,0.023439112664150847,0.4557704458347699,0.22520411215941816,0.32919930979920514,0.258403245114386
C8 Inter. travel controls,0.03477628623230904,0.16841159042939424,0.43589929009190354,0.3240489560630994,0.2407840307041766
H3 Contact tracing,0.12005562839300714,0.009372052559822874,0.19207698823452696,0.3186239227865361,0.16003214799347326
C5 Close public transport,0.14723501964290445,0.0,0.0,0.3081116586926476,0.11383666958388802
